DAS;CASA CONSISTORIAL SALA COMUNITARIA DE REUNIONES;PG ROSSEND ARUS NUM: 3 - DAS (17538)
ESCALA (L’);CENTRE ESPORTIU I RECREATIU;CARRE GARBI NUM: 6 - ESCALA (L’) (17130)
ESCALA (L’);ESCOLA SECUNDARIA “EL PEDRO”;CARRE VILABERTRAN NUM: 2 - ESCALA (L’) (17130)
ESCALA (L’);LLAR DE JUBILATS;CARRE RUSIÑOL NUM: 1 - ESCALA (L’) (17130)
ESPINELVES;SALA D’EXPOSICIONS MUNICIPAL;PLAÇA ESGLÉSIA (DE L’) NUM: 1 - ESPINELVES (17405)
ESPOLLA;CASA DE LA VILA;CARRE AMADEU SUDRIA NUM: 3 - ESPOLLA (17753)
ESPONELLÀ;AJUNTAMENT D’ESPONELLA;PLAÇA AJUNTAMENT NUM: 1 - ESPONELLÀ (17832)
FAR D’EMPORDÀ (EL);Z NOU AJUNTAMENT DEL FAR D’EMPORDÀ (VESTÍBUL - BAIXOS);PLAÇA AJUNTAMENT NUM: 1 - FAR D’EMPORDÀ (EL) (17469)
FIGUERES;ANTIC AJUNTAMENT DE VILATENIM;CARRE NOU DE VILATENIM NUM: 13 - VILATENIM - FIGUERES (17484)
FIGUERES;ARXIU MUNICIPAL DE FIGUERES;CARRE MORERIA NUM: 9 - FIGUERES (17600)
FIGUERES;ASIL VILALLONGA;AV VILALLONGA NUM: 3 - FIGUERES (17600)
FIGUERES;CEIP SANT PAU;CARRE MUNTANER NUM: 4 - FIGUERES (17600)
FIGUERES;CENTRE CIVIC CREU DE LA MA;PLAÇA REMEI BOSCH SALAMO S/N - FIGUERES (17600)
FIGUERES;CENTRE CIVIC DE LA MARCA DE L’HAM;CARRE VILATENIM (VILATENIM) S/N - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DEL CULUBRET;CARRE MAJOR NUM: 39 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DE L’EIXAMPLE;CARRE NARCIS SOLER NUM: 6 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL DE L’OLIVAR GRAN;CARRE PERE TEIXIDOR NUM: 8 - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL HORTA CAPALLERA;CARRE PUIG ROM S/N - FIGUERES (17600)
FIGUERES;CENTRE SOCIAL JUNCARIA PARC BOSC;PTGE MARIANA PINEDA NUM: 5 - FIGUERES (17600)
FIGUERES;COL·LEGI JOAQUIM CUSI I FORTUNET;CARRE MET MIRAVITLLES NUM: 1 - FIGUERES (17600)
FIGUERES;COL·LEGI JOSEP PALLACH;CARRE FOSSOS NUM: 1 - FIGUERES (17600)
