ESTARAS;AJUNTAMENT;PLAÇA MAJOR, 1
ESTERRI D'ANEU;AJUNTAMENT;PLAÇA LA CLOSA, 1
ESTERRI DE CARDOS;AJUNTAMENT;CARRER UNIC, S/N
FARRERA;EDIFICI MUNICIPAL DE SERVEI DE BURG;PLAÇA ESCOLES, S/N -BURG-
FIGOLS I ALINYA;EDIFICI AJUNTAMENT;PLAÇA DE L'ESGLESIA, S/N -FIGOLS-
FLORESTA (LA);LOCAL SOCIAL;CARRER SANT BLAI, 20
FONDARELLA;LLAR DE JUBILATS - AJUNTAMENT;RBLA LA FONT, 26
FORADADA;TELECLUB - AJUNTAMENT;PLAÇA MAJOR, 1
FULIOLA (LA);EDIFICI DE L'AJUNTAMENT;PLAÇA AJUNTAMENT, S/N
FULLEDA;SALA DE L'AJUNTAMENT;CARRER EL FORN, 2
GAVET DE LA CONCA;EDIFICI ANTIGUES ESCOLES DE GAVET;CARRER UNIC, S/N -GAVET-
GIMENELLS I EL PLA DE LA FONT;ESCOLES GIMENELLS;CARRER LLEIDA, 6 -GIMENELLS-
GIMENELLS I EL PLA DE LA FONT;ESCOLES PLA DE LA FONT;CARRER ESCOLES, 2 -PLA DE LA FONT-
GOLMES;CENTRE CIVIC - SALA DRBAIGET;CARRER MOTA, 2
GOSOL;SALA PLENS AJUNTAMENT;PLAÇA MAJOR, 1
GRANADELLA (LA);NOVES DEPENDENCIES CENTRE CIVIC;CARRER SUNYER, 16
GRANJA D'ESCARP (LA);BIBLIOTECA PUBLICA;PLAÇA NOVA, S/N
GRANYANELLA;LOCAL SOCIAL DE FONOLLERES;AFORES, S/N -FONOLLERES-
GRANYENA DE LES GARRIGUES;AJUNTAMENT;CARRER DEL PORTAL, 5
GRANYENA DE SEGARRA;SALA D'ACTES DE L'AJUNTAMENT;PLAÇA SANT PERE, 11
GUIMERA;OFICINA DE TURISME;CTRA TARREGA, 26
GUINGUETA D'ANEU (LA);EDIFICI AJUNTAMENT - BAIXOS;CARRER CARRETERA, S/N -LA GUINGUETA-
GUISSONA;AJUNTAMENT DE GUISSONA (SALA DE PLENS);PLAÇA DEL BISBE BENLLOCH, 1
GUIXERS;AJUNTAMENT;CASA NOVA DE VALLS, S/N -VALLS-
ISONA I CONCA DELLA;AJUNTAMENT;PLAÇA BISBE BADIA, 1 -ISONA-
ISONA I CONCA DELLA;LOCAL DEL TELECLUB;PG DEL PRAT, S/N -FIGUEROLA D'ORCAU-
IVARS D'URGELL;CENTRE CULTURAL I RECREATIU;PG FELIP RODES, 11
IVARS DE NOGUERA;AJUNTAMENT;CARRER PERE, 1
IVORRA;CENTRE SOCIAL;PLAÇA MAJOR, 1
JOSA I TUIXEN;AJUNTAMENT DE JOSA I TUIXEN;PLAÇA SERRA DEL CADI, 1 -TUIXENT-
JUNCOSA;AJUNTAMENT (SALA D'ACTES);PLAÇA MAJOR, 6
JUNEDA;CEIP MANUEL ORTIZ DE JUNEDA;CARRER PRAT DE LA RIBA, S/N
LLEIDA;EDIFICI ANTIC DE L'AUDIENCIA;CARRER FERRAN RAMBLA, 13
LLEIDA;C.E.I.P- PRINCEP DE VIANA;CARRER ANSELM CLAVE, 22
LLEIDA;CENTRE CIVIC DE BALAFIA;CARRER TERRASSA, 1
LLEIDA;C.E.I.P- GINESTA;CARRER ESCOLES, 2
LLEIDA;C.E.I.P- PARDINYES;CARRER ANASTASI PINOS, 33
LLEIDA;INSTITUT E.SPARDINYES JOSEP LLADONOSA;PLAÇA MARIA RUBIES I GARROFE, 1
LLEIDA;C.E.I.P- RIU SEGRE;AVGDA TORTOSA, 86
LLEIDA;C.E.I.P- PRINCEP DE VIANA;CARRER ANSELM CLAVE, 22
LLEIDA;C.E.I.P- TERRES DE PONENT;AVGDA SANT PERE, 54
LLEIDA;INSTITUT E.SPARDINYES JOSEP LLADONOSA;PLAÇA MARIA RUBIES I GARROFE, 1
LLEIDA;EDIFICI ANTIC DE L'AUDIENCIA;CARRER FERRAN RAMBLA, 13
LLEIDA;C.E.I.P- RIU SEGRE;AVGDA TORTOSA, 86
LLEIDA;C.E.I.P- PARDINYES;CARRER ANASTASI PINOS, 33
LLEIDA;CENTRE FORMACIO D'ADULTS SEGRIA;CARRER SANTA CECILIA, 1
LLEIDA;C.E.I.P- FREDERIC GODAS;CARRER RIU BESOS, 5
LLEIDA;CENTRE CIVIC DE L'ERETA;PLAÇA ERETA, 1
LLEIDA;INSTITUT D'ESTUDIS ILERDENCS;PLAÇA CATEDRAL, 1
LLEIDA;COL·LEGI GERMANS MARISTES;AVGDA CATALUNYA, 3
LLEIDA;INSTITUT E.SMARIUS TORRES;CARRER NARCIS MONTURIOL, 2
LLEIDA;EDIFICI ESCORXADOR (LOCAL AA.VV.);PLAÇA L'ESCORXADOR, 1
LLEIDA;COL·LEGI GERMANS MARISTES;AVGDA CATALUNYA, 3
LLEIDA;CENTRE CIVIC DE L'ERETA;PLAÇA ERETA, 1
LLEIDA;UNIVERSITAT DE LLEIDA;CARRER MARAGALL, 20
LLEIDA;COL·LEGI EPISCOPAL;CARRER DOCTOR COMBELLES, 38
LLEIDA;C.E.I.P- JOAN XXIII;AVGDA PIUS XII, 4
LLEIDA;C.E.I.P- SANTA MARIA DE GARDENY;CARRER ROSSINYOL, 2
LLEIDA;C.E.I.P- MAGI MORERA;PG ONZE DE SETEMBRE, 139
LLEIDA;EDIFICI ESCORXADOR (LOCAL AA.VV.);PLAÇA L'ESCORXADOR, 1
LLEIDA;C.E.I.P- JOAN XXIII;AVGDA PIUS XII, 4
LLEIDA;SERVEI TERRITORIAL D'AGRICULTURA;CARRER CAMP DE MART, 35
LLEIDA;DELEGACIO D'HISENDA;PLAÇA CERVANTES, 17
LLEIDA;COL·LEGI DOMINIQUES;CARRER VALLCALENT, 40
LLEIDA;C.E.I.P- JOC DE LA BOLA;CARRER SEGOVIA, 5
LLEIDA;SERVEI TERRITORIAL D'AGRICULTURA;CARRER CAMP DE MART, 35
LLEIDA;C.E.I.P- JOC DE LA BOLA;CARRER SEGOVIA, 5
LLEIDA;COL·LEGI DOMINIQUES;CARRER VALLCALENT, 40
LLEIDA;C.E.I.P- JOC DE LA BOLA;CARRER SEGOVIA, 5
LLEIDA;DIPUTACIO PROVINCIAL;CARRER CARME, 26
LLEIDA;COL·LEGI LESTONAC-L'ENSENYANÇA;AVGDA PRAT DE LA RIBA, 38
LLEIDA;INSTITUT E.S- ESCOLA DEL TREBALL;CARRER PI I MARGALL, 51
LLEIDA;C.E.I.P- SANT JOSEP DE CALASANZ;CARRER PAU CLARIS, 5
LLEIDA;SERVEI CATALA DE LA SALUT;AVGDA ALCALDE ROVIRA ROURE, 2
LLEIDA;C.E.I.P- BALAFIA;CARRER VALLS D'ANDORRA, 20
LLEIDA;CENTRE CIVIC DE BALAFIA;CARRER TERRASSA, 1
LLEIDA;INSTITUT E.S- ESCOLA DEL TREBALL;CARRER PI I MARGALL, 51
LLEIDA;FACULTAT DE MEDICINA;CARRER MONTSERRAT ROIG, 2
LLEIDA;C.E.I.P- SANT JOSEP DE CALASANZ;CARRER PAU CLARIS, 5
LLEIDA;SERVEI CATALA DE LA SALUT;AVGDA ALCALDE ROVIRA ROURE, 2
LLEIDA;CENTRE CIVIC DE BALAFIA;CARRER TERRASSA, 1
LLEIDA;FACULTAT DE MEDICINA;CARRER MONTSERRAT ROIG, 2
LLEIDA;C.E.I.P- BALAFIA;CARRER VALLS D'ANDORRA, 20
LLEIDA;C.E.I.P- ENRIC FARRENY;CARRER BARBASTRO, 2
LLEIDA;PAVELLO MUNICIPAL DE LA BORDETA;TRSSI SANT JORDI, 1
LLEIDA;C.E.I.P- ENRIC FARRENY;CARRER BARBASTRO, 2
LLEIDA;LOCAL SOCIAL MAGRANERS;PLAÇA JOAN XXIII, 1
LLEIDA;PAVELLO MUNICIPAL DE LA BORDETA;TRSSI SANT JORDI, 1
LLEIDA;C.E.I.P- ANTONI BERGOS (COSTAT ESGLESIA);PTDA BUTSENIT, 43 -BUTSENIT-
LLEIDA;LOCAL SOCIAL DEL CAMI DE LA MARIOLA;PTDA MALGOVERN, 1 -LES TORRES DE SANUI-
LLEIDA;ESCOLA TECNICA SUPERIOR ENGINYER.AGRARIA;AVGDA ALCALDE ROVIRA ROURE, 191
LLEIDA;COL·LEGI MATER SALVATORIS;PTDA PLA DE MONSO, 30 -LES BASSES D'ALPICAT-
LLEIDA;FACULTAT DE MEDICINA;CARRER MONTSERRAT ROIG, 2
LLEIDA;CASA SOCIAL;CARRER MAJOR - RAIMAT, 1 -RAIMAT-
LLEIDA;C.E.I.P- EL VILOT;CARRER SUQUETS - SUCHS, 20 -SUCHS-
LLEIDA;ESCOLA TECNICA SUPERIOR ENGINYER.AGRARIA;AVGDA ALCALDE ROVIRA ROURE, 191
LLEIDA;LOCAL SOCIAL DE MONTCADA;PTDA CUNILLAS, 16 -GUALDA-
LLEIDA;SALA MUNICIPAL POLIVALENT 'EL CASINET';CARRER GRAN - LLIVIA, 58 -LLIVIA-
LLEIDA;C.E.I.P- TERRES DE PONENT;AVGDA SANT PERE, 54
LES;COLEGIO PUBLICO DE LES ALEJANDRO CASONA;CARRER DES BANHS, S/N
LINYOLA;CEIP EL SITJAR DE LINYOLA;RONDA PAU CASALS, 6
LLADORRE;SALA D'ACTES;CARRER UNIC, S/N
LLADURS;SALA DE SESSIONS DE L'AJUNTAMENT;CTRA SOLSONA-SANT LLORENÇ, S/N
LLARDECANS;LLAR DE JUBILATS;PLAÇA DELS ARBRES, 3
LLAVORSI;SALA D'ACTES DE LA CASA CONSISTORIAL;CTRA DE LA VALL D'ARAN, 55
LLES DE CERDANYA;COL·LEGI PUBLIC DE LLES;PLAÇA MAJOR, 1
LLIMIANA;AJUNTAMENT;PLAÇA MAJOR, 1
LLOBERA;LOCAL SOCIAL;LOCAL SOCIAL, S/N -PERACAMPS-
MAIALS;ESCOLA PUBLICA CEIP OTOGESA DE MAIALS;PLAÇA ELISEO SALES, S/N
MALDA;LLAR DE JUBILATS-EDIFICI AJUNTAMENT;PLAÇA HOMENATGE A LA VELLESA, 1
MASSALCOREIG;EDIFICI AJUNTAMENT;PLAÇA ESGLESIA, S/N
MASSOTERES;CENTRE SOCIAL DE MASSOTERES;CARRER FONT, 1
MENARGUENS;ESCOLA PUBLICA 'JOAN ROS PORTA';PLAÇA EMPIT DEL VALL, 10
MIRALCAMP;ESCOLA PUBLICA 'SANT MIQUEL';C/ ESCOLES, S/N
MOLSOSA (LA);CENTRE RECREATIU;CASA CONSISTORIAL, S/N
MOLLERUSSA;COL·LEGI DEL CARME;CARRER CRIST REI, 5
MOLLERUSSA;COL·LEGI LA SALLE;CARRER FERRER I BUSQUETS, 17
MOLLERUSSA;EDIFICI GUIU CLARA;CARRER ARBECA, 34
MOLLERUSSA;COL·LEGI LA SALLE;CARRER FERRER I BUSQUETS, 17
MONTELLA I MARTINET;LOCAL JOVE;PLAÇA PERE SARRET, 1 -MARTINET-
MONTFERRER I CASTELLBO;CASA CONSISTORIAL;PLAÇA LA TROBADA MONTFERRER, S/N -MONTFERRER-
MONTGAI;ESCOLES PUBLIQUES;AV GENERALITAT, 21
MONTGAI;ESCOLES PUBLIQUES;CARRER BUENOS AIRES, S/N -BUTSENIT-
