MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
CABRERA DE MAR;CEIP PLA DE L'AVELLA;AV BURRIAC NUM: 33,PLA DE L'AVELLA 08349 CABRERA DE MAR
CABRILS;ESCOLA PUB. L'OLIVERA;AVDA SANTA ELENA NUM: 74,08348 CABRILS
CALAF;IES ALEXANDRE DE RIQUER;C SANT JOAN BTA.DE LA SALLE NUM: 6,08280 CALAF
CALAF;INSTITUT DE FORMACIO PERMANENT;C DOCTOR LLORENÇ S/N,08280 CALAF
CALDES D'ESTRAC;SALA CULTURAL;C RIERA (LA) NUM: 31,08393 CALDES D'ESTRAC
CALDES DE MONTBUI;AJUNTAMENT;PL FONT DEL LLEÓ NUM: 11,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;ESCOLA BRESSOL GEGANT DEL PI;C GENERAL PADRÓS NUM: 38,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;RESIDENCIA SANTA SUSANNA;C GREGORI MONTSERRAT NUM: 10,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;CENTRE CIVIC M. HUGUE;C BUENOS AIRES NUM: 14,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;BIBLIOTECA MUNICIPAL;C SANTA TERESA NUM: 3,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;LES CASES DELS MESTRES (ESPAI D'ENTITATS);C GREGORI MONTSERRAT NUM: 4,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;ESCOLA BRESSOL LA LLUNA;C MARIA AURÈLIA CAPMANY NUM: 1,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;INSTITUT M. HUGUE;C JOSEP MARIA GERMÀ NUM: 4,08140 CALDES DE MONTBUI
CALDES DE MONTBUI;CALDES EMPRÈN. CENTRE D'INICIATIVES EMPRESARIALS;C GARRAF NUM: 30,08140 CALDES DE MONTBUI
CALDERS;C. CULTURAL NESTOR ALMENDROS-BIBLIOTECA;C PAÏSOS CATALANS NUM: 2,08275 CALDERS
CALELLA;ESCOLA PIA;C JOVARA NUM: 39,08370 CALELLA
CALELLA;AJUNTAMENT VELL;PL AJUNTAMENT (DE L') NUM: 1,08370 CALELLA
CALELLA;FÀBRICA LLOBET;C LLOBET I GURI NUM: 51,08370 CALELLA
CALELLA;ESCOLES FRETA;C COSTA I FORNAGUERA NUM: 2 S,08370 CALELLA
CALELLA;ESCOLES FRETA;C JOVARA NUM: 380,08370 CALELLA
CALELLA;FÀBRICA LLOBET;C LLOBET I GURI NUM: 51,08370 CALELLA
CALONGE DE SEGARRA;ESCUELAS DUSFORT;. CAMINO DE DUSFORT S/N,DUSFORT 08281 CALONGE DE SEGARRA
CALLDETENES;CASA CONSISTORIAL;PL ONZE DE SETEMBRE S/N,08506 CALLDETENES
CALLÚS;ESCOLA PUBLICA JOVENTUT;PG ANSELM CLAVÉ NUM: 8,08262 CALLÚS
CAMPINS;EDIFICI MUNICIPAL;PL VILA NUM: 8,08472 CAMPINS
CANET DE MAR;COL.LEGI YGLESIAS;C EUSEBI GOLART NUM: 13,08360 CANET DE MAR
CANET DE MAR;E.U.E.T.T.P.;PL INDUSTRIA NUM: 1,08360 CANET DE MAR
CANET DE MAR;INSTITUT D'EDUCACIO SECUNDARIA;C FRANCESC CAMBÓ NUM: 2,08360 CANET DE MAR
CANET DE MAR;ESCOLA BRESSOL;RONDA DOCTOR MANRESA NUM: 21,08360 CANET DE MAR
CANET DE MAR;COL.LEGI YGLESIAS;C EUSEBI GOLART NUM: 13,08360 CANET DE MAR
CANET DE MAR;E.U.E.T.T.P.;PL INDUSTRIA NUM: 1,08360 CANET DE MAR
CANET DE MAR;INSTITUT D'EDUCACIO SECUNDARIA;C FRANCESC CAMBÓ NUM: 2,08360 CANET DE MAR
CANET DE MAR;ESCOLA BRESSOL;RONDA DOCTOR MANRESA NUM: 21,08360 CANET DE MAR
CANOVELLES;TEATRE AUDITORI CAN PALOTS;C BARCELONA NUM: 8,BARRIADA NOVA 08420 CANOVELLES
CANOVELLES;EL LOCAL;C NORD NUM: 33,BARRIADA NOVA 08420 CANOVELLES
CANOVELLES;CENTRE CÍVIC LA QUITXALLA (ANTIGA LUDOTECA);PARC QUITXALLA (DE LA) NUM: 1,BARRIADA NOVA 08420 CANOVELLES
CANOVELLES;CENTRE CULTURAL;C INDUSTRIA NUM: 22,BARRIADA NOVA 08420 CANOVELLES
CANOVELLES;ESCOLA BRESSOL SANT JORDI;C SANT JORDI NUM: 46,BARRIADA NOVA 08420 CANOVELLES
CANOVELLES;CEIP JOAN MIRO;C MOLLO NUM: 71,CAN DIVIU 08420 CANOVELLES
CANOVELLES;IES BELLULLA;PL AJUNTAMENT NUM: 3,BELLULLA 08420 CANOVELLES
CÀNOVES I SAMALÚS;LOCAL SOCIAL-PATI AJUNTAMENT;. MASIA CAN CASADEMUNT S/N,CÀNOVES 08445 CÀNOVES I SAMALÚS
CANYELLES;SALA MULTICULTURAL;C MAJOR S/N,08811 CANYELLES
CAPELLADES;IES MOLI DE LA VILA;C CALL NUM: 56,08786 CAPELLADES
CAPELLADES;CEIP MARQUES DE LA POBLA;PG MIQUEL I MAS NUM: 19,08786 CAPELLADES
CAPELLADES;CAL PONET;C DIVINA PASTORA NUM: 1,08786 CAPELLADES
CAPOLAT;EDIFICI DEL NOU AJUNTAMENT;CTRA BERGA A S.LLORENÇ MORUNYS S/N,08619 CAPOLAT
CARDEDEU;AJUNTAMENT;PL SANT JOAN (DE) NUM: 1,08440 CARDEDEU
CARDEDEU;CENTRE CIVIC TEXTIL RASE;AV JAUME CAMPMAJOR (DE) NUM: 7,08440 CARDEDEU
CARDEDEU;ESCOLA MIL.LENARI;C MARE DE DÉU DEL PILAR (DE) NUM: 8,08440 CARDEDEU
CARDEDEU;CENTRE CIVIC TEXTIL RASE;AV JAUME CAMPMAJOR (DE) NUM: 7,08440 CARDEDEU
CARDEDEU;ESCOLA MIL.LENARI;C MARE DE DÉU DEL PILAR (DE) NUM: 8,08440 CARDEDEU
CARDONA;PAVELLO POLIESPORTIU;CTRA MIRACLE (DEL) S/N,08261 CARDONA
CARDONA;CASAL DE LA GENT GRAN DE LA COROMINA;C ESGLÉSIA (DE L') NUM: 35,COROMINA (LA) 08261 CARDONA
CARME;ESCUELAS PUBLICAS;AV CATALUNYA NUM: 2,08787 CARME
CASSERRES;ESCOLES MUNICIPALS;PG BISBE COMELLAS NUM: 65,08693 CASSERRES
CASTELLAR DEL RIU;LOCAL SOCIOCULTURAL D'ESPINALBET;CAMI CAL PERE SASTRE S/N,ESPINALBET 08619 CASTELLAR DEL RIU
CASTELLAR DEL VALLÈS;ATENEU;C MAJOR NUM: 13,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;EDIFICI EL MIRADOR;PL MIRADOR (EL) S/N,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;GIMNAS CEIP EMILI CARLES-TOLRA;C DOCTOR JOSEP PORTABELLA NUM: 5,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;CEIP JOAN BLANQUER;C JAUME I NUM: 22,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;ESPAI TOLRA;C PORTUGAL NUM: 2,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;EDIFICI EL MIRADOR;PL MIRADOR (EL) S/N,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;CEIP JOAN BLANQUER;C JAUME I NUM: 22,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;ESCOLA CEIP MESTRE PLA;C JOSEP CARNER NUM: 2,RESIDENCIAL CAN CARNER 08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;ANTIGA ESCOLA DE S. FELIU RACO;CTRA CASTELLAR NUM: 15,SANT FELIU RACÓ SANT FELIU DEL RACÓ 08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;ESPAI TOLRA;C PORTUGAL NUM: 2,08211 CASTELLAR DEL VALLÈS
CASTELLAR DEL VALLÈS;EDIFICI EL MIRADOR;PL MIRADOR (EL) S/N,08211 CASTELLAR DEL VALLÈS
CASTELLAR DE N'HUG;CASA CONSISTORIAL;PL AJUNTAMENT (DE L') S/N,08696 CASTELLAR DE N'HUG
CASTELLBELL I EL VILAR;CEIP JAUME BALMES;AV CATALUNYA NUM: 169,BORRAS 08296 CASTELLBELL I EL VILAR
CASTELLBISBAL;ELS COSTALS - SALA EXPOSICIONS;AV PAU CASALS NUM: 16,08755 CASTELLBISBAL
CASTELLBISBAL;CASAL CULTURAL I RECREATIU;AV PAU CASALS NUM: 7,08755 CASTELLBISBAL
CASTELLBISBAL;ELS COSTALS - SALA EXPOSICIONS;AV PAU CASALS NUM: 16,08755 CASTELLBISBAL
CASTELLBISBAL;CASAL CULTURAL I RECREATIU;AV PAU CASALS NUM: 7,08755 CASTELLBISBAL
CASTELLBISBAL;CENTRE CÍVIC CAN SANTEUGINI;C MONTJUIC NUM: 14,CAN SANTEUGINI 08755 CASTELLBISBAL
CASTELLCIR;SALA D'ACTES DE L'AJUNTAMENT DE CASTELLCIR;PLAZA ERA NUM: 5,08183 CASTELLCIR
CASTELLDEFELS;CASA DELS INFANTS 'CAN VINADER';RBLA BLAS INFANTE NUM: 10,08860 CASTELLDEFELS
CASTELLDEFELS;ESCOLA 'ELS PINS';AV HABANA VIEJA NUM: 12,08860 CASTELLDEFELS
CASTELLDEFELS;COL.LEGI FRANGOAL;C GENERAL CASTAÑOS NUM: 28,08860 CASTELLDEFELS
CASTELLDEFELS;CENTRE CIVIC FREDERIC MOMPOU;PL JOAN XXIII NUM: 8,08860 CASTELLDEFELS
CASTELLDEFELS;COL.LEGI FRANGOAL;C GENERAL CASTAÑOS NUM: 28,08860 CASTELLDEFELS
CASTELLDEFELS;ANTIGUO COLEGIO 'LUIS VIVES';C ESGLESIA NUM: 1,08860 CASTELLDEFELS
CASTELLDEFELS;'CASA DE ANDALUCIA' EDIF POLICIA LOCAL;PL ESPERANTO NUM: 4,08860 CASTELLDEFELS
CASTELLDEFELS;ANTIGUO COLEGIO 'LUIS VIVES';C ARCADI BALAGUER NUM: 27,08860 CASTELLDEFELS
CASTELLDEFELS;ESCOLA MUNICIPAL DE DANSA;AV TRES-CENTS NUM: 25,08860 CASTELLDEFELS
CASTELLDEFELS;'CASA DE ANDALUCIA' EDIF POLICIA LOCAL;PL ESPERANTO NUM: 4,08860 CASTELLDEFELS
CASTELLDEFELS;CENTRE CIVIC FREDERIC MOMPOU;PL JOAN XXIII NUM: 8,08860 CASTELLDEFELS
CASTELLDEFELS;COLEGIO TORRE BARONA (RECINTO ESCOLAR 'CAN ROCA');AV PRIMER DE MAIG NUM: 17,08860 CASTELLDEFELS
CASTELLDEFELS;CENTRE CIVIC FREDERIC MOMPOU;PL JOAN XXIII NUM: 8,08860 CASTELLDEFELS
CASTELLDEFELS;COLEGIO TORRE BARONA (RECINTO ESCOLAR 'CAN ROCA');AV PRIMER DE MAIG NUM: 17,08860 CASTELLDEFELS
CASTELLDEFELS;COL.LEGI PETIT MON-FELISA BASTIDA;AV TRES-CENTS TRES NUM: 54,08860 CASTELLDEFELS
CASTELLDEFELS;CEIP ANTONI GAUDI;PG TIL.LERS NUM: 8,08860 CASTELLDEFELS
CASTELLDEFELS;CLUB NAUTICO CASTELLDEFELS;PG MARITIM NUM: 271,08860 CASTELLDEFELS
CASTELLDEFELS;ESCOLA EDUMAR;C GRANADA NUM: 18,08860 CASTELLDEFELS
CASTELLDEFELS;CEIP GARIGOT;C ARAGO NUM: 2,08860 CASTELLDEFELS
CASTELLDEFELS;ESCOLA EDUMAR;C GRANADA NUM: 18,08860 CASTELLDEFELS
CASTELL DE L'ARENY;EDIFICI DE L'AJUNTAMENT;CTRA VILADA S/N,08604 CASTELL DE L'ARENY
CASTELLET I LA GORNAL;EDIF. MUNICIPAL NIU DE L'ORENETA;C MAJOR (MASUQUES) NUM: 22,MASUQUES (LES) 08729 CASTELLET I LA GORNAL
CASTELLET I LA GORNAL;CENTRE CIVIC LA GORNAL;RBLA PENEDÈS (DEL) NUM: 6,GORNAL (LA) 08729 CASTELLET I LA GORNAL
CASTELLFOLLIT DEL BOIX;ESCUELA RURAL MIXTA;. ESCOLES S/N,08255 CASTELLFOLLIT DEL BOIX
CASTELLFOLLIT DE RIUBREGÓS;CENTRO SOCIAL;C MAJOR NUM: 1,08283 CASTELLFOLLIT DE RIUBREGÓS
CASTELLGALÍ;C.P.S. MIQUEL DE CASTELLGALI;AV MONTSERRAT S/N,08297 CASTELLGALÍ
CASTELLNOU DE BAGES;AJUNTAMENT;. IGLESIA S/N,08251 CASTELLNOU DE BAGES
CASTELLOLÍ;LA COOPERATIVA;AV UNIÓ (DE LA) NUM: 29,08719 CASTELLOLÍ
CASTELLTERÇOL;ESCOLES VELLES;PL ESTUDIS NUM: 6,08183 CASTELLTERÇOL
CASTELLVÍ DE LA MARCA;EDIFICI POLIVALENT MUNICIPAL;C ANSELM CLAVÉ NUM: 11,MUNIA (LA) 08732 CASTELLVÍ DE LA MARCA
CASTELLVÍ DE ROSANES;CASAL DE LA GENT GRAN;PL EUROPA (D') S/N,08769 CASTELLVÍ DE ROSANES
CASTELLVÍ DE ROSANES;CENTRE CIVIC CAN SUNYER;C SANT LLORENÇ DE MORUNYS NUM: 6 B,CAN SUNYER DEL PALAU 08769 CASTELLVÍ DE ROSANES
CENTELLES;ESCOLES PUBLIQUES ILDEFONS CERDA;AV ESCOLES NUM: 22,08540 CENTELLES
CERVELLÓ;CENTRE CIVIC L'ATENEU;PL TORRENT DE LA MALADONA NUM: 1,08758 CERVELLÓ
CERVELLÓ;CLUB ESPORTIU CAN RAFEL;AV FONT (LA) NUM: 23,PUIGMONTMANY 08758 CERVELLÓ
CERVELLÓ;CEIP SANTA MARIA;C BARONS DE CERVELLO S/N,08758 CERVELLÓ
COLLBATÓ;ESCOLA GRADUADA MIXTA LA SALUT;PG ESCOLES (LES) NUM: 5,08293 COLLBATÓ
COLLSUSPINA;BAIXOS AJUNTAMENT;PL MAJOR NUM: 3,08178 COLLSUSPINA
COPONS;LOCAL;C ÀNGEL GUIMERÀ NUM: 8,08289 COPONS
CORBERA DE LLOBREGAT;ESCOLA EL CORB;C EMPORDA (DE L') NUM: 2,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA JAUME BALMES;PG ARBRES NUM: 30,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA PUIG D'AGULLES;C ANDROMEDA (DE L') NUM: 4,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA JAUME BALMES;PG ARBRES NUM: 30,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;AV CAN PALET;CAMI FABRICA (DE LA) NUM: 1,CAN PALET 08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA PUIG D'AGULLES;C ANDROMEDA (DE L') NUM: 4,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA JAUME BALMES;PG ARBRES NUM: 30,08757 CORBERA DE LLOBREGAT
CORBERA DE LLOBREGAT;ESCOLA EL CORB;C EMPORDA (DE L') NUM: 2,08757 CORBERA DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ANSELM CLAVE;C DOCTOR CARULLA NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ELS PINS;C PIUS XII NUM: 17,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP L'ARENY;C SANT LLUIS NUM: 11,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ANSELM CLAVE;C DOCTOR CARULLA NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ELS PINS;C PIUS XII NUM: 17,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ANSELM CLAVE;C DOCTOR CARULLA NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP L'ARENY;C SANT LLUIS NUM: 11,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ELS PINS;C PIUS XII NUM: 17,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP DOLORS ALMEDA;C BALTASAR ORIOL NUM: 66,ALMEDA MERCADER 08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;ORFEO CATALONIA;C TORRAS I BAGES NUM: 62,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP IGNASI IGLESIAS;C MARIA BENLLIURE NUM: 29,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP SURIS;C TERRA ALTA S/N,FONTSANTA 08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP IGNASI IGLESIAS;C MARIA BENLLIURE NUM: 29,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;ORFEO CATALONIA;C TORRAS I BAGES NUM: 62,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP IGNASI IGLESIAS;C MARIA BENLLIURE NUM: 29,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP SURIS;C TERRA ALTA S/N,FONTSANTA 08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ANTONI GAUDI;C ARQUITECTE CALZADA S/N,ALMEDA MERCADER 08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CULTURAL G. NIETO;C MOSSEN ANDREU NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP JACINT VERDAGUER;AV SALVADOR ALLENDE NUM: 14,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CULTURAL G. NIETO;C MOSSEN ANDREU NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;LOCALS MUNICIPALS ANTIGA ESCOLA D'ADULTS;C GARRAF S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CULTURAL G. NIETO;C MOSSEN ANDREU NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;LOCALS MUNICIPALS ANTIGA ESCOLA D'ADULTS;C GARRAF S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;COL.LEGI SANT ANTONI M. CLARET;C MANUEL MARINE NUM: 11,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP ANTONI GAUDI;C ARQUITECTE CALZADA S/N,ALMEDA MERCADER 08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CULTURAL G. NIETO;C MOSSEN ANDREU NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP JACINT VERDAGUER;AV SALVADOR ALLENDE NUM: 14,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CULTURAL G. NIETO;C MOSSEN ANDREU NUM: 1,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;LOCALS MUNICIPALS ANTIGA ESCOLA D'ADULTS;C GARRAF S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP MARE DE DEU DE MONTSERRAT;AV LINIA ELECTRICA NUM: 2,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP SANT ILDEFONS;AV SANT ILDEFONS NUM: 24,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP MARE DE DEU DE MONTSERRAT;AV LINIA ELECTRICA NUM: 2,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP SANT ILDEFONS;AV SANT ILDEFONS NUM: 24,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP TORRE DE LA MIRANDA;C ALMOGAVARES S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;EDIFICI ROGER DE LLURIA;C ALMOGAVARES S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CIVIC SANT ILDEFONS;C GERDERA S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CEIP TORRE DE LA MIRANDA;C ALMOGAVARES S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;EDIFICI ROGER DE LLURIA;C ALMOGAVARES S/N,08940 CORNELLÀ DE LLOBREGAT
CORNELLÀ DE LLOBREGAT;CENTRE CIVIC SANT ILDEFONS;C GERDERA S/N,08940 CORNELLÀ DE LLOBREGAT
CUBELLES;CENTRE SOCIAL;C JOAN ROIG I PIERA NUM: 3,08880 CUBELLES
CUBELLES;CEIP CHARLIE RIVEL;PG VILANOVA NUM: 44,08880 CUBELLES
CUBELLES;CEIP VORA DEL MAR;C VERGE DEL PILAR NUM: 10,08880 CUBELLES
CUBELLES;CEIP CHARLIE RIVEL;PG VILANOVA NUM: 44,08880 CUBELLES
CUBELLES;CEIP MAR I CEL;AV POMPEU I FABRA NUM: 44,CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO) 08880 CUBELLES
CUBELLES;LOCAL SOCIAL DE MAS TRADER I;C CLAVELL S/N,URBANITZACIO MAS-TRADER I 08880 CUBELLES
CUBELLES;CEIP VORA DEL MAR;C VERGE DEL PILAR NUM: 10,08880 CUBELLES
CUBELLES;CEIP MAR I CEL;AV POMPEU I FABRA NUM: 44,CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO) 08880 CUBELLES
CUBELLES;CEIP VORA DEL MAR;C VERGE DEL PILAR NUM: 10,08880 CUBELLES
CUBELLES;CEIP CHARLIE RIVEL;PG VILANOVA NUM: 44,08880 CUBELLES
DOSRIUS;CEIP CASTELL DE DOSRIUS;C SALVADOR DALÍ S/N,08319 DOSRIUS
DOSRIUS;LOCAL SOCIAL(A SOTA DEL CONSULT.MEDIC CAN MASSUET);C MARESME NUM: 1,CAN MASSUET-EL FAR 08319 DOSRIUS
DOSRIUS;CONSULTORI MEDIC DE CANYAMARS (LOCAL A SOBRE);URB CAN CANYAMARS S/N,CANYAMARS 08318 DOSRIUS
ESPARREGUERA;ESCOLA MUNICIPAL DE MÚSICA I DANSA;C CAVALLERS NUM: 60,08292 ESPARREGUERA
ESPARREGUERA;CAN PASQUAL;C CAVALLERS NUM: 26,08292 ESPARREGUERA
ESPARREGUERA;CENTRE DUAL;C ARBRES NUM: 21,08292 ESPARREGUERA
ESPARREGUERA;ESCOLA BRESSOL CUCURUGA;PL GERMANS SUBIRANA NUM: 1,08292 ESPARREGUERA
ESPARREGUERA;CAL TREMPAT;C VIA DEL MIL.LENARI NUM: 8,08292 ESPARREGUERA
ESPARREGUERA;ESCOLA ROQUES BLAVES;C PARAIRES NUM: 18,08292 ESPARREGUERA
ESPARREGUERA;ZONA ESPORTIVA DEL BARRI FONT;C ROSER NUM: 23,08292 ESPARREGUERA
ESPARREGUERA;AV CAN RIAL;AV RAFAEL CASANOVAS NUM: 34,CAN RIAL 08292 ESPARREGUERA
ESPARREGUERA;AV LA PLANA;C JOAN XXIII NUM: 71,08292 ESPARREGUERA
ESPARREGUERA;TALLER OCUPACIONAL CAN COMELLES;C CAMI DE CAN COMELLES NUM: 8,08292 ESPARREGUERA
ESPARREGUERA;AV MAS D'EN GALL;C PAU DURAN NUM: 30,MAS D'EN GALL (EL) 08292 ESPARREGUERA
ESPLUGUES DE LLOBREGAT;CEIP ISIDRE MARTI;C PILES (LES) NUM: 2,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CASAL CULTURA ROBERT BRILLAS;C ANGEL GUIMERA NUM: 38,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP GRAS SOLER;C BARONESSA DE MALDA NUM: 28,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;BIBLIOTECA P.M. ESPLUGUES;C ANGEL GUIMERA NUM: 106,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;IES SEVERO OCHOA;C SEVER OCHOA NUM: 1,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CENTRE MUNICIPAL PUIG COCA;. PETIT PARC DE L'AMISTAT S/N,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP FOLCH I TORRES;C SANT ANTONI MARIA CLARET NUM: 13,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CASAL DELS AVIS (CAN CLOTA);C PAU (LA) NUM: 10,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;ASOCIACION CULTURAL ANDALUZA;C JOSEP ANSELM CLAVE NUM: 90,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;ESCOLA ISABEL DE VILLENA;C JOAN MIRO NUM: 41,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP ISIDRE MARTI;C PILES (LES) NUM: 2,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;BIBLIOTECA P.M. ESPLUGUES;C ANGEL GUIMERA NUM: 106,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP GRAS SOLER;C BARONESSA DE MALDA NUM: 28,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP FOLCH I TORRES;C SANT ANTONI MARIA CLARET NUM: 13,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;EDIFICI MOLÍ;C VERGE DE LA MERCE NUM: 1,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP JOAN MARAGALL;AV CIUTAT DE L'HOSPITALET NUM: 59,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;PARVULARI JOAN MARAGALL;PL MACAEL NUM: 8,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP JOAN MARAGALL;AV CIUTAT DE L'HOSPITALET NUM: 59,08950 ESPLUGUES DE LLOBREGAT
ESPLUGUES DE LLOBREGAT;CEIP CAN VIDALET;C CEDRES NUM: 37,08950 ESPLUGUES DE LLOBREGAT
ESPUNYOLA (L');LOCAL SOCIAL;CTRA SOLSONA S/N,08614 ESPUNYOLA (L')
ESTANY (L');ESCUELA PUBLICA;C BALMES NUM: 30,08148 ESTANY (L')
FÍGOLS;AJUNTAMENT DE FIGOLS;PL ESGLÉSIA (DE L') S/N,08698 FÍGOLS
FOGARS DE MONTCLÚS;CASA CONSISTORIAL;CTRA VELLA DE SANTA FE NUM: 15,MOSQUEROLES 08479 FOGARS DE MONTCLÚS
FOGARS DE LA SELVA;ESCOLA PUBLICA MUNICIPAL;PL VILA (LA) S/N,08495 FOGARS DE LA SELVA
FOLGUEROLES;SALA DE PLENS CASA CONSISTORIAL;PL MOSSÈN CINTO VERDAGUER NUM: 2,08519 FOLGUEROLES
