COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25064|BORGES BLANQUES (LES)|01|001||U|A Z|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|01|002||A|A K|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|01|002||B|L Z|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|02|001||A|A K|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|02|001||B|L Z|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|02|002||A|A K|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25064|BORGES BLANQUES (LES)|02|002||B|L Z|PAVELLO DE L'OLI|CARRER INDUSTRIA, 9
25065|BOSSOST|01|001||U|A Z|COL·LEGI D'EDUCACIO INFANTIL|CARRER MARGALIDA, S/N
25066|BOVERA|01|001||U|A Z|AJUNTAMENT-PLANTA BAIXA (SALA JUBILATS)|CARRER MAJOR, 20
25067|CABANABONA|01|001||U|A Z|AJUNTAMENT-BAIXOS|CARRER VILALTA, 7
25068|CABO|01|001||U|A Z|CASA CONSISTORIAL|CARRER ESGLESIA, S/N
25069|CAMARASA|01|001||U|A Z|CASA DE LA VILA|PLAÇA MAJOR, 1
25070|CANEJAN|01|001||U|A Z|CASA CONSISTORIAL|PLAÇA DERA CRASTA, 5
25071|CASTELL DE MUR|01|001||U|A Z|CASA CONSISTORIAL - GUARDIA DE TREMP|CARRER CARME, 46 -GUARDIA DE NOGUERA-
25072|CASTELLAR DE LA RIBERA|01|001||U|A Z|AJUNTAMENT|CASA AJUNTAMENT, S/N
25073|CASTELLDANS|01|001||U|A Z|AJUNTAMENT - (VESTIBUL)|PG MORAGUES, 21
25074|CASTELLNOU DE SEANA|01|001||U|A Z|ESCOLA PUBLICA L'ESTEL|CARRER CALVARI, 1
25075|CASTELLO DE FARFANYA|01|001||U|A Z|COL·LEGI PUBLIC STAMARIA|PLAÇA SANT ANTONI, 1
25076|CASTELLSERA|01|001||U|A Z|AJUNTAMENT (LLAR DEL JUBILAT)|AV CATALUNYA, 4
25077|CAVA|01|001||U|A Z|ANTIGUES ESCOLES MUNICIPALS D'ANSOVELL|PLAÇA ESGLESIA, S/N -ANSOVELL-
25078|CERVERA|01|001||U|A Z|BAIXOS AJUNTAMENT|PLAÇA MAJOR, 1
25079|CERVERA|02|001||A|A L|ESCOLES JAUME BALMES|PLAÇA PIUS XII, 1
